FUNDOS;SETOR;PREÇO ATUAL (R$);LIQUIDEZ DIÁRIA (R$);P/VP;ÚLTIMO DIVIDENDO;DIVIDEND YIELD;DY (3M) ACUMULADO;DY (6M) ACUMULADO;DY (12M) ACUMULADO;DY (3M) MÉDIA;DY (6M) MÉDIA;DY (12M) MÉDIA;DY ANO;VARIAÇÃO PREÇO;RENTAB. PERÍODO;RENTAB. ACUMULADA;PATRIMÔNIO LÍQUIDO;VPA;P/VPA;DY PATRIMONIAL;VARIAÇÃO PATRIMONIAL;RENTAB. PATR. PERÍODO;RENTAB. PATR. ACUMULADA;QUANT. ATIVOS
BCRI11;PAPÉIS;70,63;638.047,21;0,72;0,8;1,13%;2,95%;6,08%;12,06%;0,98%;1,01%;1,01%;7,93%;-7,09%;-6,04%;-19,50%;619.928.797,11;100,74;0,7;0,99%;-0,93%;0,05%;6,21%;0
BDIF11;FUNDO DE DESENVOLVIMENTO;97,45;1.557.566,76;N/A;1,25;1,33%;4,00%;7,75%;15,99%;1,33%;1,29%;1,33%;8,93%;0,26%;1,59%;16,32%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
BICE11;FUNDO DE FUNDOS;980;27.531,00;0,99;7,88;0,00%;1,79%;1,79%;3,09%;0,60%;0,30%;0,26%;3,09%;0,00%;0,00%;N/A;89.018.475,76;1.017,80;0,96;1,57%;5,06%;6,71%;8,19%;0
BICR11;PAPÉIS;82,02;1.173,52;0,81;0,52;0,57%;1,41%;2,43%;6,75%;0,47%;0,41%;0,56%;3,97%;0,00%;0,00%;N/A;50.897.643,19;99,22;0,83;1,11%;-1,64%;-0,55%;8,67%;0
BIDB11;FUNDO DE DESENVOLVIMENTO;88,91;167.113,97;N/A;0,72;0,80%;2,17%;5,68%;11,57%;0,72%;0,95%;0,96%;8,01%;2,30%;3,12%;11,16%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
BIME11;INDEFINIDO;7,39;55.121,38;0,84;0,08;1,06%;3,09%;6,91%;12,00%;1,03%;1,15%;1,00%;9,02%;-3,93%;-2,92%;7,68%;51.644.433,24;9,01;0,82;0,67%;-0,71%;-0,05%;6,11%;2
BLCA11;INDEFINIDO;124,98;1.530,27;0,93;0,57;0,45%;0,45%;0,86%;2,73%;0,15%;0,14%;0,23%;1,49%;0,00%;0,00%;N/A;217.802.295,64;89,26;1,4;0,63%;-0,32%;0,31%;-12,47%;1
BLCP11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;91;103.127,50;0,81;0,56;0,63%;1,24%;2,39%;4,92%;0,41%;0,40%;0,41%;3,64%;0,00%;0,00%;N/A;256.580.339,90;111,74;0,81;0,50%;-0,02%;0,49%;15,81%;2
BLMC11;PAPÉIS;82;15.895,81;0,82;0,79;0,94%;3,17%;6,76%;12,64%;1,06%;1,13%;1,05%;7,81%;3,04%;4,01%;14,76%;40.097.779,50;96,52;0,85;0,69%;-1,69%;-1,01%;2,81%;0
BLMG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;60,84;577.273,10;0,69;0,7;1,15%;3,22%;6,64%;12,80%;1,07%;1,11%;1,07%;8,91%;-10,54%;-9,51%;-14,07%;333.768.702,70;91,33;0,67;0,88%;-2,57%;-1,72%;-1,52%;1
BLMO11;LAJES CORPORATIVAS;18.898,00;344.904,00;0,57;102;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;126.764.811,09;29.561,52;0,64;0,09%;0,22%;0,31%;13,59%;1
BLMR11;FUNDO DE FUNDOS;7,17;401.087,28;0,88;0,06;0,83%;2,47%;5,30%;11,25%;0,82%;0,88%;0,94%;7,37%;-3,85%;-3,05%;12,58%;207.511.287,43;7,82;0,92;0,95%;-5,66%;-4,77%;3,05%;0
BLUR11;PAPÉIS;100;1.706,07;1,05;1,03;1,02%;1,02%;2,13%;5,18%;0,34%;0,36%;0,43%;2,13%;0,00%;0,00%;N/A;8.580.360,32;N/A;N/A;N/A;N/A;N/A;N/A;0
BMLC11;LAJES CORPORATIVAS;106;35.449,83;0,96;0,76;0,72%;4,92%;7,12%;11,75%;1,64%;1,19%;0,98%;8,44%;0,99%;1,72%;14,22%;110.629.236,31;109,14;0,97;0,81%;-0,05%;0,76%;4,10%;2
BNFS11;AGÊNCIAS DE BANCOS;121,75;133.005,07;1,33;1,49;1,22%;3,71%;7,58%;14,64%;1,24%;1,26%;1,22%;9,77%;0,10%;1,32%;9,79%;64.243.804,66;99,22;1,23;1,55%;-0,03%;1,51%;13,72%;18
BODB11;INDEFINIDO;9,65;519.886,48;N/A;0,11;1,13%;3,09%;6,19%;13,00%;1,03%;1,03%;1,08%;10,11%;-0,10%;1,03%;14,94%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
BPFF11;FUNDO DE FUNDOS;72,49;351.763,76;0,93;0,62;0,84%;2,58%;5,56%;11,34%;0,86%;0,93%;0,95%;7,53%;0,59%;1,43%;23,64%;351.989.535,10;74,28;0,98;0,83%;-5,10%;-4,31%;3,18%;0
BPML11;SHOPPINGS;76,4;253.062,72;0,58;0,27;0,46%;1,37%;2,74%;5,34%;0,46%;0,46%;0,45%;0,46%;-5,91%;-5,48%;-5,48%;570.021.556,31;123,89;0,62;0,24%;0,23%;0,47%;0,03%;4
BPRP11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;96,1;2.053,00;0,89;0,9;0,00%;0,87%;2,69%;3,54%;0,29%;0,45%;0,30%;2,69%;0,00%;0,00%;N/A;147.332.908,30;N/A;N/A;N/A;N/A;N/A;N/A;1
BRCO11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;126,3;3.308.410,90;1,04;0,87;0,69%;2,16%;4,07%;8,04%;0,72%;0,68%;0,67%;6,04%;4,21%;4,93%;35,80%;1.785.988.780,45;121,55;1,04;0,58%;2,01%;2,60%;8,31%;10
BRCR11;LAJES CORPORATIVAS;62,55;1.822.539,93;0,62;0,41;0,65%;1,96%;4,37%;9,04%;0,65%;0,73%;0,75%;6,02%;-6,15%;-5,54%;10,41%;2.680.791.488,63;100,35;0,62;0,50%;0,15%;0,65%;-1,63%;9
BREV11;LAJES CORPORATIVAS;105;187.543,63;0,89;0,58;0,55%;1,68%;3,67%;10,82%;0,56%;0,61%;0,90%;9,28%;0,32%;0,87%;15,36%;113.864.559,59;110,17;0,95;0,68%;-0,12%;0,56%;6,59%;13
BRIM11;FUNDO DE DESENVOLVIMENTO;1.030,22;1.020,40;0,89;28,91;0,00%;0,00%;0,00%;1,41%;0,00%;0,00%;0,12%;0,00%;0,00%;0,00%;N/A;143.097.842,63;N/A;N/A;N/A;N/A;N/A;N/A;1
BRIP11;FUNDO DE DESENVOLVIMENTO;950,01;1.583,33;0,81;6,03;0,00%;9,60%;9,60%;9,60%;4,80%;4,80%;4,80%;9,60%;0,00%;0,00%;N/A;254.255.052,75;N/A;N/A;N/A;N/A;N/A;N/A;10
BRLA11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;147,95;169.913,25;0,94;1,43;0,87%;1,57%;2,30%;4,55%;0,52%;0,38%;0,38%;2,30%;0,00%;0,00%;N/A;495.911.210,39;157,77;0,94;0,69%;0,04%;0,74%;-8,63%;6
BROF11;LAJES CORPORATIVAS;67,65;978.892,72;0,63;0,53;0,76%;2,67%;3,61%;3,61%;0,89%;1,20%;1,20%;3,61%;0,00%;0,76%;17,21%;1.232.813.903,40;N/A;N/A;N/A;N/A;N/A;N/A;2
BTAG11;INDEFINIDO;94,4;628.792,48;N/A;1,35;1,41%;4,28%;8,59%;16,65%;1,43%;1,43%;1,39%;11,42%;1,93%;3,36%;14,54%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
BTAL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;88,7;879.435,24;0,85;0,73;0,80%;2,34%;5,09%;10,32%;0,78%;0,85%;0,86%;6,02%;-5,78%;-5,02%;2,62%;625.743.281,02;105,89;0,84;0,78%;-0,43%;0,35%;8,41%;9
BTCI11;PAPÉIS;9,67;2.260.684,03;0,93;0,1;1,04%;3,16%;6,61%;11,48%;1,05%;1,10%;0,96%;9,01%;2,53%;3,60%;18,65%;1.024.811.117,16;N/A;N/A;N/A;N/A;N/A;N/A;0
BTCR11;PAPÉIS;88;652.774,65;0,92;0,9;0,98%;2,90%;6,61%;13,52%;0,97%;1,10%;1,13%;11,55%;-5,96%;-5,04%;11,14%;458.252.683,73;95,27;0,92;0,94%;0,64%;1,59%;4,62%;0
BTLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;104,41;6.658.024,41;1,06;0,76;0,74%;2,20%;4,50%;8,97%;0,73%;0,75%;0,75%;5,29%;-1,06%;-0,33%;10,10%;2.067.981.417,09;99,19;1,05;0,75%;0,09%;0,84%;4,82%;20
BTRA11;INDEFINIDO;71,99;621.646,00;0,6;0,56;0,75%;2,39%;5,55%;11,40%;0,80%;0,93%;0,95%;6,68%;-11,56%;-10,90%;-5,76%;400.439.049,61;103,62;0,69;0,82%;0,53%;1,36%;5,71%;5
BTSG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;139,08;1.321,00;1,01;0,92;0,00%;0,00%;1,73%;1,73%;0,00%;0,29%;0,14%;1,73%;0,00%;0,00%;N/A;106.746.178,22;133,34;1,04;0,65%;0,00%;0,65%;6,02%;1
BTSI11;MISTO;104;45.700,00;0,85;0,73;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;257.872.154,20;N/A;N/A;N/A;N/A;N/A;N/A;2
BTWR11;FUNDO DE DESENVOLVIMENTO;107;428;0,96;0,43;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;90.558.210,00;111,9;0,96;0,38%;0,23%;0,61%;7,24%;1
CACR11;PAPÉIS;104,61;689.495,83;1,02;1,43;1,35%;4,19%;8,42%;16,86%;1,40%;1,40%;1,41%;11,08%;-1,73%;-0,40%;14,25%;186.873.763,85;103,41;1,01;1,37%;-0,05%;1,32%;37,55%;0
CARE11;MISTO;1,84;9.573,86;0,22;0,01;0,23%;0,67%;1,36%;2,92%;0,22%;0,23%;0,32%;1,36%;-2,63%;-2,41%;-7,39%;297.666.193,03;1,6;1,15;0,10%;-0,24%;-0,14%;3,56%;1
