FUNDOS;SETOR;PREÇO ATUAL (R$);LIQUIDEZ DIÁRIA (R$);P/VP;ÚLTIMO DIVIDENDO;DIVIDEND YIELD;DY (3M) ACUMULADO;DY (6M) ACUMULADO;DY (12M) ACUMULADO;DY (3M) MÉDIA;DY (6M) MÉDIA;DY (12M) MÉDIA;DY ANO;VARIAÇÃO PREÇO;RENTAB. PERÍODO;RENTAB. ACUMULADA;PATRIMÔNIO LÍQUIDO;VPA;P/VPA;DY PATRIMONIAL;VARIAÇÃO PATRIMONIAL;RENTAB. PATR. PERÍODO;RENTAB. PATR. ACUMULADA;QUANT. ATIVOS
EURO11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;249,46;42.074,24;0,77;1,88;0,76%;2,30%;4,67%;9,49%;0,77%;0,78%;0,79%;6,23%;0,42%;1,18%;13,80%;124.864.282,06;312,91;0,8;0,61%;0,01%;0,62%;6,68%;7
EVBI11;MISTO;97,38;215.712,83;0,99;0,75;0,77%;2,44%;4,81%;9,49%;0,81%;0,80%;0,79%;6,42%;1,46%;2,24%;10,22%;211.079.442,48;100,21;0,97;0,75%;-0,71%;0,03%;7,70%;6
EXES11;INDEFINIDO;88;2.992,00;0,95;1,05;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;44.225.425,80;N/A;N/A;N/A;N/A;N/A;N/A;0
FAED11;EDUCACIONAL;161,44;150.857,31;0,73;1,51;0,92%;2,65%;5,93%;12,23%;0,88%;0,99%;1,02%;8,17%;-7,23%;-6,38%;20,91%;139.756.822,13;216,18;0,75;0,71%;0,00%;0,71%;4,95%;3
FAMB11B;LAJES CORPORATIVAS;809,15;92.387,58;0,28;9,16;0,56%;2,18%;4,80%;10,11%;0,73%;0,80%;0,84%;5,64%;-47,80%;-47,51%;-53,68%;309.002.614,25;3.593,26;0,23;0,25%;0,53%;0,79%;12,82%;1
FATN11;LAJES CORPORATIVAS;92,74;408.786,62;0,94;0,85;0,90%;2,63%;5,25%;10,69%;0,88%;0,88%;0,89%;7,00%;-3,23%;-2,36%;7,62%;126.308.555,55;101,4;0,91;0,79%;0,37%;1,16%;7,01%;31
FCFL11;EDUCACIONAL;117;165.213,10;1;0,78;0,66%;2,09%;4,41%;8,47%;0,70%;0,74%;0,71%;5,12%;3,51%;4,19%;9,39%;403.741.891,82;104,8;1,12;0,73%;0,00%;0,73%;5,64%;1
FEXC11;PAPÉIS;83,5;860.137,12;0,1;0,5;0,00%;1,08%;4,14%;11,48%;0,36%;0,69%;0,96%;0,00%;0,00%;0,00%;N/A;1.001.470.167,13;90,75;0,92;0,99%;-1,13%;-0,15%;7,12%;0
FGAA11;INDEFINIDO;10,01;1.611.936,14;1,01;0,13;1,28%;3,88%;8,08%;16,51%;1,29%;1,35%;1,38%;10,79%;1,30%;2,60%;12,42%;326.955.560,01;9,59;1,04;1,36%;0,00%;0,00%;0,00%;0
FIGS11;SHOPPINGS;61,7;175.438,72;0,81;0,45;0,71%;2,60%;5,02%;9,60%;0,87%;0,84%;0,80%;6,65%;-1,05%;-0,35%;33,97%;216.457.542,22;99,78;0,62;0,39%;-0,01%;0,38%;4,38%;2
FIIB11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;510,89;187.028,28;1,1;3,75;0,72%;2,09%;4,20%;8,88%;0,70%;0,70%;0,74%;5,65%;3,08%;3,82%;17,76%;316.273.815,11;455,67;1,12;0,83%;-0,10%;0,74%;7,62%;9
FIIP11B;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;176;89.403,24;0,86;1,44;0,81%;2,49%;5,25%;10,57%;0,83%;0,88%;0,88%;7,11%;0,09%;0,90%;30,03%;188.411.207,67;186,18;0,95;0,73%;-0,12%;0,60%;0,12%;7
FISC11;LAJES CORPORATIVAS;165;N/A;1,43;0,44;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;195.865.393,97;116,06;1,42;0,21%;0,02%;0,22%;1,04%;5
FLCR11;PAPÉIS;96,64;77.383,10;0,98;0,95;0,98%;3,27%;7,30%;13,39%;1,09%;1,22%;1,12%;9,65%;1,38%;2,37%;10,81%;62.640.460,13;98,63;0,98;0,91%;-0,68%;0,23%;8,93%;0
FLMA11;LAJES CORPORATIVAS;139,98;77.928,38;0,88;0,82;0,58%;1,95%;4,12%;8,34%;0,65%;0,69%;0,70%;5,37%;2,83%;3,42%;16,59%;220.651.347,80;157,29;0,89;0,59%;0,07%;0,66%;6,45%;2
FLRP11;SHOPPINGS;1.969,99;11.505,25;1,05;13,5;0,68%;1,36%;3,71%;8,45%;0,45%;0,62%;0,70%;5,33%;0,06%;0,74%;18,32%;119.040.327,27;1.730,91;1,14;0,55%;0,14%;0,68%;4,66%;1
FMOF11;LAJES CORPORATIVAS;54,55;50.943,57;0,46;0,15;0,00%;0,53%;2,38%;5,09%;0,18%;0,40%;0,42%;0,00%;0,00%;0,00%;N/A;60.435.612,12;122,64;0,44;0,11%;-0,19%;-0,08%;-0,08%;2
FPAB11;LAJES CORPORATIVAS;204,5;11.474,86;0,5;0,9;0,44%;4,01%;6,67%;12,63%;1,34%;1,11%;1,05%;9,00%;8,24%;8,72%;61,57%;280.814.619,03;410,44;0,5;0,40%;0,00%;0,40%;4,53%;2
FVPQ11;SHOPPINGS;124,01;76.400,28;0,65;1,2;0,95%;3,57%;6,16%;10,20%;1,19%;1,03%;0,85%;8,02%;8,38%;9,41%;36,80%;538.683.307,17;198,6;0,62;0,28%;-0,03%;0,25%;4,39%;1
FZDA11;INDEFINIDO;121;39.339,59;1,17;2,26;1,90%;1,90%;1,90%;1,90%;1,90%;1,90%;1,90%;1,90%;0,00%;0,00%;N/A;158.007.687,28;101,94;1,19;2,21%;0,00%;0,00%;0,00%;0
GALG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;9,11;1.295.059,38;1;0,08;0,92%;2,69%;5,60%;10,88%;0,90%;0,93%;0,91%;7,44%;-0,55%;0,37%;4,59%;526.075.325,12;9,36;0,97;0,88%;-7,87%;-7,06%;-90,09%;5
GAME11;INDEFINIDO;9,33;160.490,76;0,93;0,1;1,07%;3,28%;6,79%;13,29%;1,09%;1,13%;1,11%;7,93%;0,54%;1,61%;14,71%;216.606.162,93;9,84;0,95;1,02%;0,20%;1,22%;-98,84%;0
GCFF11;FUNDO DE FUNDOS;69,3;87.694,83;0,89;3,07;0,00%;2,25%;5,27%;11,25%;0,75%;0,88%;0,94%;3,26%;0,00%;0,00%;N/A;27.939.468,78;82,69;0,84;0,87%;-3,88%;-3,05%;-3,37%;0
GCRA11;INDEFINIDO;89,2;528.062,79;0,95;1,1;1,21%;3,57%;7,57%;15,00%;1,19%;1,26%;1,25%;10,14%;-0,49%;0,71%;3,47%;171.608.604,07;98,01;0,91;1,31%;0,01%;1,32%;14,22%;0
GCRI11;PAPÉIS;89,35;225.762,38;0,93;1;1,11%;3,38%;7,04%;14,14%;1,13%;1,17%;1,18%;8,26%;-3,86%;-2,79%;4,05%;139.469.473,13;94,35;0,95;1,17%;-2,34%;-1,20%;0,94%;0
GESE11B;EDUCACIONAL;1.520,00;N/A;0,86;14,71;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;91.597.974,62;1.767,92;0,86;0,79%;0,00%;0,79%;2,41%;1
GGRC11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;116,58;1.244.666,24;1,03;0,95;0,80%;2,44%;5,23%;10,47%;0,81%;0,87%;0,87%;7,05%;-1,53%;-0,74%;10,24%;925.167.589,35;124,59;0,94;0,82%;-0,14%;0,68%;2,07%;17
GLOG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;68,2;81.729,34;0,64;0,63;0,90%;2,76%;5,66%;11,64%;0,92%;0,94%;0,97%;7,75%;0,00%;0,90%;2,87%;79.755.095,60;N/A;N/A;N/A;N/A;N/A;N/A;1
GRWA11;INDEFINIDO;10,31;29.957,66;1,02;0,15;1,44%;4,15%;7,10%;7,10%;1,38%;1,42%;1,42%;7,10%;0,87%;2,32%;10,16%;12.843.636,12;10,14;1,02;1,38%;0,00%;0,00%;0,00%;0
GTLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;63,99;22.885,25;1,06;60,62;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;434.811.690,70;93,65;0,68;0,75%;-0,13%;0,62%;3,69%;5
GTWR11;LAJES CORPORATIVAS;84,21;992.003,93;0,89;0,79;0,91%;2,83%;5,87%;11,70%;0,94%;0,98%;0,98%;7,99%;3,57%;4,51%;18,48%;1.140.706.652,02;98,05;0,86;0,75%;0,03%;0,79%;8,09%;3
GURB11;INDEFINIDO;105;1.998.501,00;0,94;0,7;0,00%;0,00%;0,83%;0,83%;0,00%;0,14%;0,08%;0,83%;0,00%;0,00%;N/A;126.189.048,78;N/A;N/A;N/A;N/A;N/A;N/A;2
HAAA11;LAJES CORPORATIVAS;59,54;7.855,96;0,73;0,29;0,49%;1,63%;2,99%;6,12%;0,54%;0,50%;0,51%;4,25%;-6,72%;-6,26%;-26,28%;279.416.181,84;89,97;0,66;0,60%;-0,40%;0,20%;1,32%;2
HABT11;PAPÉIS;93,5;1.228.055,83;0,94;1;1,02%;3,50%;7,86%;14,85%;1,17%;1,31%;1,24%;10,53%;2,15%;3,19%;20,89%;806.636.236,32;99,8;0,94;0,92%;0,14%;1,06%;15,75%;0
HBCR11;INDEFINIDO;116;1.273.192,00;1,13;0,68;0,00%;0,57%;1,54%;2,78%;0,19%;0,26%;0,23%;1,54%;0,00%;0,00%;N/A;115.283.619,73;N/A;N/A;N/A;N/A;N/A;N/A;4
HBRH11;LAJES CORPORATIVAS;93,41;812.225,03;0,83;0,52;0,55%;1,73%;3,67%;7,78%;0,58%;0,61%;0,65%;5,05%;-1,31%;-0,77%;14,43%;310.626.828,68;113,29;0,82;0,53%;0,10%;0,63%;7,47%;5
HCHG11;PAPÉIS;79,05;89.077,97;0,82;0,52;0,63%;3,21%;6,77%;13,79%;1,07%;1,13%;1,15%;9,15%;0,05%;0,68%;5,98%;116.507.246,83;100,07;0,79;1,00%;-0,38%;0,61%;13,16%;0
HCRA11;INDEFINIDO;102,9;507,24;N/A;1,36;1,32%;3,80%;6,23%;7,41%;1,27%;1,04%;0,62%;6,23%;0,00%;1,32%;2,99%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
HCRI11;HOSPITALAR;299,92;36.557,55;0,96;2,59;0,87%;2,95%;6,32%;14,24%;0,98%;1,05%;1,19%;7,41%;14,04%;15,03%;41,62%;61.655.370,00;299,94;1;0,81%;0,00%;0,81%;3,06%;1
HCTR11;PAPÉIS;35,6;3.655.894,34;0,33;0,17;0,37%;2,26%;4,92%;11,15%;0,75%;0,82%;0,93%;6,84%;-2,36%;-1,99%;-51,42%;2.469.351.365,39;121,43;0,29;0,91%;-0,11%;0,80%;16,89%;0
HDEL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;106,09;7.956,50;1,25;1,87;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;42.749.917,75;N/A;N/A;N/A;N/A;N/A;N/A;0
HFOF11;FUNDO DE FUNDOS;79,72;2.102.835,00;0,94;0,63;0,77%;2,35%;5,14%;10,37%;0,78%;0,86%;0,86%;7,05%;1,98%;2,76%;26,20%;1.926.871.672,10;82,16;0,97;0,75%;-4,45%;-3,73%;4,99%;0
HGAG11;INDEFINIDO;24,98;25.549,34;1,47;0,22;0,88%;2,80%;6,66%;13,19%;0,93%;1,11%;1,10%;9,97%;-4,04%;-3,19%;1,84%;5.731.825,70;23,09;1,08;1,99%;0,00%;0,00%;0,00%;0
HGBS11;SHOPPINGS;230,16;3.506.175,79;1,02;2;0,86%;2,22%;4,42%;8,70%;0,74%;0,74%;0,73%;5,95%;2,60%;3,48%;29,14%;2.264.344.680,70;216,98;1,06;0,65%;-0,63%;0,02%;7,57%;12
HGCR11;PAPÉIS;106,42;3.690.201,07;1,02;1,1;1,02%;3,21%;6,70%;13,70%;1,07%;1,12%;1,14%;9,05%;2,26%;3,30%;15,56%;1.598.887.163,80;101,2;1,05;1,19%;-1,20%;-0,03%;12,64%;0
HGFF11;FUNDO DE FUNDOS;88,72;902.683,24;0,94;0,7;0,77%;2,25%;4,88%;10,07%;0,75%;0,81%;0,84%;6,70%;2,61%;3,40%;35,16%;269.584.670,63;87,45;1,01;0,74%;-5,38%;-4,67%;5,29%;0
HGIC11;PAPÉIS;111,98;23.997,50;0,88;1,02;0,97%;3,13%;5,10%;10,82%;1,04%;0,85%;0,90%;6,57%;-0,92%;0,04%;-2,78%;57.875.912,12;114,02;0,98;0,96%;-2,08%;-1,14%;17,05%;0
HGLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;161,35;11.269.593,55;1,05;1,1;0,68%;2,25%;4,31%;8,99%;0,75%;0,72%;0,75%;5,67%;-0,63%;0,04%;4,35%;5.176.423.292,15;147,8;1,09;0,74%;0,37%;1,11%;9,68%;21
HGPO11;LAJES CORPORATIVAS;273;582.151,21;0,92;1,6;0,57%;1,70%;3,61%;7,34%;0,57%;0,60%;0,61%;4,88%;-2,40%;-1,84%;12,73%;524.362.205,21;267,63;1,02;0,60%;-0,05%;0,54%;5,96%;2
HGRE11;LAJES CORPORATIVAS;136,5;2.488.182,86;0,89;0,78;0,57%;2,11%;4,02%;8,01%;0,70%;0,67%;0,67%;5,40%;-3,86%;-3,31%;17,44%;1.835.305.009,11;161,29;0,85;0,48%;-0,12%;0,36%;2,41%;17
HGRU11;MISTO;135,54;5.174.158,45;1,09;0,85;0,64%;2,34%;4,45%;9,48%;0,78%;0,74%;0,79%;5,88%;0,02%;0,66%;15,01%;2.276.329.312,59;120;1,13;0,68%;-0,37%;0,31%;9,23%;71
HLOG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;92,01;67.110,79;0,8;0,65;0,69%;2,05%;4,36%;8,65%;0,68%;0,73%;0,72%;5,88%;-2,50%;-1,83%;9,58%;490.815.421,64;111,05;0,83;0,59%;-0,07%;0,51%;5,12%;5
HOFC11;LAJES CORPORATIVAS;23,3;65.208,38;0,26;0,11;0,47%;3,46%;5,89%;8,50%;1,15%;0,98%;0,71%;6,78%;-0,67%;-0,21%;-10,44%;337.189.582,50;N/A;N/A;N/A;N/A;N/A;N/A;4
HOSI11;IMÓVEIS RESIDENCIAIS;66,2;22.043,82;0,73;0,46;0,66%;4,56%;6,60%;12,61%;1,52%;1,10%;1,05%;7,96%;0,03%;0,69%;30,51%;52.891.698,49;93,2;0,71;0,46%;0,26%;0,72%;5,35%;0
HPDP11;SHOPPINGS;83,97;18.067,28;0,93;0,53;0,65%;2,64%;4,64%;7,55%;0,88%;0,77%;0,63%;5,22%;-1,78%;-1,15%;25,06%;260.246.309,56;95;0,88;0,53%;0,14%;0,67%;5,81%;1
HRDF11;FUNDO DE DESENVOLVIMENTO;4,13;1.064,03;0,71;5,4;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;9.298.063,48;N/A;N/A;N/A;N/A;N/A;N/A;0
HREC11;PAPÉIS;83,94;227.251,69;0,9;0,85;1,00%;3,07%;6,49%;12,96%;1,02%;1,08%;1,08%;8,80%;0,89%;1,90%;13,50%;482.876.556,27;89,66;0,94;1,06%;-1,80%;-0,76%;9,87%;0
HSAF11;PAPÉIS;86,6;383.728,03;0,93;0,75;0,87%;3,03%;6,91%;13,28%;1,01%;1,15%;1,11%;9,19%;-3,53%;-2,69%;19,15%;235.244.956,56;91,55;0,95;0,66%;-0,67%;-0,02%;8,39%;0
HSLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;96,3;964.723,07;0,92;0,73;0,77%;2,30%;4,96%;9,73%;0,77%;0,83%;0,81%;6,72%;-1,88%;-1,12%;13,30%;1.318.516.623,66;105,22;0,92;0,67%;-0,05%;0,62%;0,99%;5
HSML11;SHOPPINGS;95;2.935.982,72;1;0,74;0,77%;2,34%;4,98%;9,96%;0,78%;0,83%;0,83%;6,80%;2,12%;2,90%;26,17%;1.503.214.578,48;97,37;0,98;0,70%;-0,19%;0,51%;4,26%;7
HSRE11;MISTO;102,57;1.478.233,67;1,1;0,6;0,58%;1,16%;2,39%;5,46%;0,39%;0,40%;0,46%;3,61%;-0,01%;0,57%;2,96%;831.959.181,93;96,2;1,07;0,65%;-0,04%;0,62%;5,83%;27
HTMX11;HOTÉIS;141,29;673.493,86;1,02;2,02;1,46%;4,33%;8,27%;13,37%;1,44%;1,38%;1,11%;9,51%;3,00%;4,51%;35,84%;206.160.754,38;131,52;1,07;0,97%;-0,42%;0,55%;7,47%;23
HUCG11;HOSPITALAR;101,64;3.239,09;0,99;0,2;0,22%;0,94%;1,50%;5,29%;0,31%;0,25%;0,44%;2,34%;0,00%;0,00%;N/A;115.061.656,48;N/A;N/A;N/A;N/A;N/A;N/A;2
HUSC11;HOSPITALAR;111,85;5.505,92;0,76;0,92;0,81%;2,50%;5,07%;8,39%;0,83%;0,85%;0,70%;5,90%;7,55%;8,42%;19,75%;119.183.945,12;146,16;0,77;0,60%;2,35%;2,96%;7,11%;2
HUSI11;HOSPITALAR;1.136,79;3.410,00;1,02;8,26;0,00%;0,00%;0,68%;3,37%;0,00%;0,11%;0,28%;1,33%;0,00%;0,00%;N/A;129.367.556,42;991,67;1,15;0,88%;-0,83%;0,05%;4,33%;0
IAAG11;INDEFINIDO;9,89;116.702,66;1,03;0,08;0,81%;1,31%;1,31%;1,31%;1,31%;1,31%;1,31%;1,31%;-1,69%;-0,89%;-0,89%;52.456.629,44;9,63;1,03;0,52%;0,00%;0,00%;0,00%;0
IBCR11;PAPÉIS;77,96;309.745,48;0,79;0,99;1,27%;3,52%;7,14%;13,65%;1,17%;1,19%;1,14%;8,31%;-3,01%;-1,77%;-0,08%;92.854.574,52;95,51;0,82;0,84%;-0,91%;-0,08%;9,49%;0
IBFF11;FUNDO DE FUNDOS;66,4;162.549,50;4,49;14,79;0,00%;0,44%;2,85%;8,02%;0,15%;0,48%;0,67%;5,41%;0,00%;0,00%;N/A;9.855.905,16;72,54;0,92;0,69%;-1,95%;-1,28%;-0,61%;0
IDFI11;INDEFINIDO;28,43;57.207,69;0,82;0,19;0,52%;9,38%;18,91%;42,86%;3,13%;3,15%;3,57%;56,55%;-1,31%;-0,79%;14,76%;75.681.695,16;59,67;0,48;0,48%;-1,60%;-1,13%;-18,15%;2
IFRA11;FUNDO DE DESENVOLVIMENTO;104,43;1.285.171,07;N/A;1,08;1,03%;3,07%;6,06%;11,84%;1,02%;1,01%;0,99%;7,72%;0,56%;1,60%;12,52%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
IRDM11;PAPÉIS;82,96;5.043.444,10;0,93;0,81;0,93%;2,89%;6,15%;11,74%;0,96%;1,03%;0,98%;7,19%;-2,76%;-1,86%;1,18%;3.262.073.283,21;93,04;0,89;0,75%;-1,77%;-1,03%;3,28%;0
IRIM11;INDEFINIDO;92,4;89.170,41;0,96;0,86;0,90%;3,23%;6,61%;12,31%;1,08%;1,10%;1,03%;7,71%;0,19%;1,09%;8,52%;182.511.074,50;97,23;0,95;0,74%;-1,35%;-0,62%;2,72%;0
ITIP11;PAPÉIS;77,73;105.257,28;1,02;0,72;0,92%;3,06%;6,43%;12,44%;1,02%;1,07%;1,04%;8,68%;1,42%;2,35%;6,99%;58.226.271,75;80,92;0,96;0,91%;-2,90%;-2,01%;2,57%;0
ITIT11;FUNDO DE FUNDOS;79,98;177.748,03;0,92;0,57;0,71%;2,33%;4,65%;9,17%;0,78%;0,78%;0,76%;6,29%;2,89%;3,62%;6,47%;78.674.097,77;79,66;1;0,72%;-5,82%;-5,15%;6,88%;0
JASC11;IMÓVEIS COMERCIAIS - OUTROS;100;5.382.933,33;0,97;0,52;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;279.182.856,28;N/A;N/A;N/A;N/A;N/A;N/A;12
JBFO11;PAPÉIS;87;87;0,98;0,45;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;113.272.773,06;N/A;N/A;N/A;N/A;N/A;N/A;0
JFLL11;IMÓVEIS RESIDENCIAIS;73,3;120.299,62;0,73;0,62;0,82%;2,52%;5,44%;11,20%;0,84%;0,91%;0,93%;7,52%;1,67%;2,51%;23,63%;151.483.911,60;100,49;0,73;0,62%;0,03%;0,65%;7,43%;2
JGPX11;INDEFINIDO;100,9;461.987,83;1;1,41;1,37%;3,98%;8,02%;15,43%;1,33%;1,34%;1,29%;10,55%;2,62%;4,03%;17,42%;81.784.381,54;96,43;1,05;1,21%;0,48%;1,70%;12,76%;0
JPPA11;PAPÉIS;99,68;227.370,83;1;1,15;1,11%;3,72%;7,96%;16,14%;1,24%;1,33%;1,35%;10,66%;3,56%;4,71%;9,22%;89.773.410,62;99,04;1,01;1,41%;-0,73%;0,67%;11,76%;0
JRDM11;SHOPPINGS;85,9;610.682,00;0,97;7,83;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;224.143.181,16;87,34;0,98;0,79%;-0,06%;0,72%;4,19%;1
JSAF11;FUNDO DE FUNDOS;99,61;1.309.024,41;1,01;0,93;0,95%;2,91%;6,22%;12,77%;0,97%;1,04%;1,06%;8,54%;0,82%;1,78%;26,58%;157.665.900,22;94,13;1,06;0,99%;-4,06%;-3,12%;7,12%;0
JSRE11;MISTO;77,08;3.106.975,76;0,68;0,46;0,59%;1,74%;3,79%;7,71%;0,58%;0,63%;0,64%;5,23%;-3,36%;-2,79%;11,66%;2.343.584.658,59;113,42;0,68;0,43%;0,00%;0,44%;4,34%;6
JURO11;FUNDO DE DESENVOLVIMENTO;107,98;1.815.972,00;N/A;1,75;1,61%;4,22%;6,44%;13,52%;1,41%;1,07%;1,13%;6,91%;2,11%;3,75%;10,25%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
KCRE11;INDEFINIDO;96,67;488.547,45;0,92;0,8;0,81%;2,84%;6,98%;11,11%;0,95%;1,16%;0,93%;9,11%;0,42%;1,23%;22,30%;377.087.831,31;98,96;0,98;0,52%;-1,96%;-1,46%;1,56%;0
KDIF11;FUNDO DE DESENVOLVIMENTO;135;2.831.193,86;N/A;1;0,73%;2,25%;4,91%;10,90%;0,75%;0,82%;0,91%;6,97%;3,37%;4,12%;15,54%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
KEVE11;FUNDO DE DESENVOLVIMENTO;1.084,86;172.998,62;1,18;19,57;0,00%;3,38%;3,38%;4,66%;1,13%;0,56%;0,39%;3,38%;0,00%;0,00%;N/A;136.061.479,50;967,75;1,12;0,28%;-1,49%;-1,22%;-4,29%;0
KFOF11;FUNDO DE FUNDOS;96,9;1.795.491,03;0,97;0,75;0,78%;2,63%;5,38%;10,61%;0,88%;0,90%;0,88%;7,24%;-0,97%;-0,20%;32,31%;448.300.299,85;92,06;1,05;0,78%;-6,43%;-5,70%;6,11%;0
KINP11;FUNDO DE DESENVOLVIMENTO;9,82;38.394,20;2,66;2,9;0,00%;4,91%;14,60%;31,63%;1,64%;2,43%;2,64%;12,53%;0,00%;0,00%;N/A;26.408.606,84;4,8;2,05;5,01%;-6,28%;-1,58%;1,04%;0
KISU11;FUNDO DE FUNDOS;8,67;774.130,97;0,94;0,07;0,80%;2,53%;5,19%;10,87%;0,84%;0,87%;0,91%;7,06%;-1,14%;-0,34%;15,36%;408.493.347,60;8,79;0,99;0,85%;-5,26%;-4,46%;2,09%;0
KIVO11;PAPÉIS;92,42;206.890,31;0,98;1,15;1,23%;4,10%;9,40%;17,50%;1,37%;1,57%;1,46%;12,19%;-1,33%;-0,12%;8,19%;114.628.473,72;N/A;N/A;N/A;N/A;N/A;N/A;0
KNCA11;INDEFINIDO;105,75;2.900.833,79;1,05;1,2;1,13%;3,37%;7,07%;14,50%;1,12%;1,18%;1,21%;9,26%;-0,66%;0,46%;8,83%;1.441.823.009,54;102,26;1,03;1,11%;0,07%;1,18%;12,58%;0
KNCR11;PAPÉIS;98,97;11.476.743,83;0,98;1,2;1,20%;3,54%;7,12%;13,91%;1,18%;1,19%;1,16%;9,34%;0,72%;1,93%;10,78%;5.758.807.700,20;100,66;0,98;1,09%;-0,02%;1,08%;11,76%;0
KNHF11;INDEFINIDO;104,39;977.551,67;1,02;1;0,96%;0,96%;0,96%;0,96%;0,96%;0,96%;0,96%;0,96%;0,00%;0,00%;N/A;1.032.565.601,21;N/A;N/A;N/A;N/A;N/A;N/A;0
KNHY11;PAPÉIS;101,59;2.368.199,69;0,99;0,9;0,88%;2,80%;6,57%;11,81%;0,93%;1,10%;0,98%;9,05%;2,80%;3,70%;14,30%;1.904.351.220,09;97,68;1,04;0,92%;-0,96%;-0,05%;11,79%;0
KNIP11;PAPÉIS;92,65;11.876.358,93;0,93;0,5;0,54%;1,95%;5,23%;9,59%;0,65%;0,87%;0,80%;7,34%;0,52%;1,06%;8,47%;7.984.130.494,79;94,8;0,98;0,53%;-1,90%;-1,38%;9,16%;0
KNRE11;FUNDO DE DESENVOLVIMENTO;0,55;7.806,03;0,71;0,07;12,52%;82,61%;138,46%;178,41%;27,54%;23,08%;14,87%;138,46%;-44,00%;-36,99%;6,59%;14.029.570,91;0,83;0,66;36,83%;-28,53%;-2,21%;-8,03%;1
KNRI11;MISTO;163,9;3.908.906,52;1,02;0,95;0,59%;2,13%;4,09%;7,99%;0,71%;0,68%;0,67%;5,43%;-0,68%;-0,10%;20,58%;3.869.076.579,67;160,12;1,02;0,57%;-0,09%;0,47%;7,86%;19
KNSC11;PAPÉIS;90,77;2.636.869,79;0,99;0,8;0,88%;2,57%;6,05%;11,37%;0,86%;1,01%;0,95%;8,23%;2,11%;3,01%;14,06%;1.216.887.495,27;88,6;1,02;0,85%;-1,15%;-0,31%;9,95%;0
LASC11;SHOPPINGS;101,5;605.544,54;1;0,57;0,55%;1,17%;2,45%;9,92%;0,39%;0,41%;0,83%;7,45%;2,40%;2,97%;7,96%;300.224.466,00;109,68;0,93;0,74%;-0,24%;0,50%;2,30%;2
LFTT11;PAPÉIS;45,37;17.203,21;1,77;2,63;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;190.205.057,21;53,02;0,86;6,92%;-12,09%;-6,00%;-69,33%;250
LGCP11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;86,01;557.247,17;0,84;0,64;0,73%;2,20%;4,63%;9,15%;0,73%;0,77%;0,76%;6,20%;1,44%;2,18%;12,35%;293.814.056,79;102,79;0,84;0,60%;0,02%;0,62%;7,54%;5
LIFE11;IMÓVEIS COMERCIAIS - OUTROS;9,99;207.231,93;1;0,12;1,19%;3,71%;8,23%;14,57%;1,24%;1,37%;1,21%;10,78%;-2,01%;-0,84%;5,74%;225.803.060,11;N/A;N/A;N/A;N/A;N/A;N/A;0
LOFT11B;FUNDO DE DESENVOLVIMENTO;29,9;N/A;2,49;47,9;0,00%;0,00%;142,24%;189,83%;0,00%;23,71%;15,82%;92,37%;0,00%;0,00%;N/A;23.584.469,65;N/A;N/A;N/A;N/A;N/A;N/A;16
LSAG11;MISTO;103,44;84.323,62;N/A;1,1;1,03%;3,80%;8,59%;17,13%;1,27%;1,43%;1,43%;11,09%;-0,47%;0,56%;4,40%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
